response,multiple explanatory variables /more complex,explain more variation/error,ss model larger,ss total same,less error left,not necessarily better,cost of variables,overlap,pre larger,distance to model / deviation from the model,combined models,reducing empy model error,statistically significant predictors,better predictions,notes
Because with two explanatory variables that both account for some of the variation from the empty model the SS model would be larger than both the sugar percent model and the chocolate model.  With a larger SS model and the same SS total the SS Error is going to be smaller.,1,1,1,1,0,0,0,0,0,0,0,0,0,0,
because the two-predictor model will explain more variation than using one variable alone to explain variation.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Because since we are bringing a more complex model, it will explain more variation in the data, explaining more error causing the SS error to go down",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
The two-predictor model explains more variation that either of the two alone because it is more complex. Adding more variables to the model almost always explains more variation but does so at the cost of the model's simplicity and elegance. If the SS Model is higher - more variation is explained - then the SS error will be lower by subtraction.,1,0,1,0,0,1,1,0,0,0,0,0,0,0,
"Because less error is left after taking out the effects of chocolate and sugarpercent. In this case, there are two variables showing their effect on the reduction in error.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,
"because there's two explanatory variables here. The sugarpercent model decreases some of the error and so does the chocolate model decrease some of the error of the model. Having two explanatory variables in a model that are shown to reduce some error of the empty model, it is rational to think that the two explanatory model will have even less error than the two models alone.",1,0,0,0,0,0,0,0,0,0,0,1,0,0,
"The two-predictor model should have a lower SS error than either the chocolate model or the sugarpercent model because it is measuring the distance from the data to the complex model, which should get smaller as more complexity is added to the model.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,
"Because more error is explained with 2 explanatory variables rather than just one, so the error unexplained (SS error) would decrease.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,
"Because they use more information to help predict the outcome variable, they are more likely to have less error. However, there is a tradeoff, as the F value becomes smaller and the data doesn't give an accurate depiction of the DGP.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,more evidence
"This is true because it has more explanatory variables, and thus is explaining more variation. This does not mean it is a better model, however.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,
I think that it will have a lower SS error because more of the variation will be explained by adding 2 explanatory variables.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because you're using more explanatory variables, you're explaining more of the results that you got. Because there is more explanation, your SS model will go up, making the SS error go down because they both add up to SS total.",1,1,1,1,0,0,0,0,0,0,0,0,0,0,
Because both variables are explaining more than the empty model.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Since it better explains the variation, it should contain less SS error",0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because when adding a parameter to an empty model, we are always reducing ss error from the empty model. If we add two parameters, both of which through the course of the exam showed that they reduced ss error well, they together will reduce ss error even more.",1,1,0,0,0,0,0,0,0,0,0,1,0,0,
"Because if the new model explains more variation and accounts for more error, the SS error should decrease.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because the two-predictor model would have a higher SS Model since it explains more variation, making the SS error smaller.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
"By adding more variables into our model, we increase the amount of variation we explain. This is a double-edged sword, however, since adding more variables to the model might make the model too complex.",1,1,0,0,0,1,1,0,0,0,0,0,0,0,
"Because the explanatory variables explain MORE variation, there will be less variation within each variable. Therefore the SS error will be lower (variation from data points to complex model's prediction). What will INCREASE is SS model or the amount of error that has been reduced by adding the explanatory variables.",1,1,1,0,1,0,0,0,0,0,0,0,0,0,
Because the two-predictor model takes into account both variables and explains more variation in the winpercent than either the chocolate or sugarpercent models,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
It used more degrees of freedom/ added more explanatory variables.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,higher df
"the two predictor model should explain more variation compared to each of the models by themselves, which leads to a smaller value of leftover (SS) error left unexplained",0,0,0,0,1,0,0,0,0,0,0,0,0,0,
"By adding another explanatory variable or parameter to help explain variation, the model will account for more of the total variation meaning that there is less leftover (SS error).",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Because the variation in data that each model predicts may not be the same parts of the variation, so if there is less overlap, more of the error is explained. Therefore, the remaining error is less than from either model.",0,1,0,0,0,0,0,1,0,0,0,0,0,0,
The two-predictor model will explain more total error than the chocolate model or sugarpercent model do alone.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
It includes more parameters in the model which explains more of the total variation.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because the more parameter you add, the more variation you explain and thus have a lower SS error.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
because the SS model should be higher leaving less error,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
"You are adding more variables to explain the error, so you are increasing the amount of variation explained by adding in more variables. More variation explained would entail less error, so the SS error will become lower.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
"This is true because as you add more explanatory variables, you will be explaining more of the variation by nature. Therefore, the PRE, or proportional reduction in error, would be greater with 2 explanatory variables than with 1.",1,1,0,0,0,0,0,0,1,0,0,0,0,0,
Because there are more variables to explain the variation in winpercent therefore the reduction in error is lower,1,0,0,0,0,0,0,0,0,0,0,0,0,0,pre lower
More variation is explained in the empty model,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
"There will be less left over error bc for each explanatory variable added to the model, more variation is expected to be explained from the empty model.",1,1,0,0,1,0,0,0,0,0,0,1,0,0,
A model with two explanatory variables will explain more of the variation in winpercent than a model with just one explanatory variable,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because we are looking at two explanatory variables instead of just one, we have a better way of explaining how much variation is caused by these two variables.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Because the two-predictor model will explain more of the variation and thus have a higher SS model. Since SS error equals SS total minus SS model and SS total is the same between all three models, then SS error will be lower for the two-predictor model which has the higher SS model.",0,1,1,1,0,0,0,0,0,0,0,0,0,0,
The SS error should be lower because there should be less error leftover unexplained if it is a better model. The SS model should be higher if it is a good model.,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Because we are incorporating the reductions in error from both the chocolate model and the sugarpercent model.,0,1,0,0,0,0,0,1,0,0,1,0,0,0,
"if the explanatory variables explain a certain amount of variation individually, a more complex model, with both the variables taken into account should should explain more variation, thus having a lower SS error. The complex model would have more degrees of freedom and also a higher PRE",1,0,0,0,0,0,0,1,1,0,0,0,0,0,higher df
"This is because the SS error is the distance between the actual data point and the predicted model value. Since both chocolate model and sugarpercent model both reduce the error from empty model, combining them both would equal an even greater SS model. Since SS total is the same regardless since we're only looking at the same, one outcome variable, that means SS model takes up more space and thus reduces SS error",0,1,1,1,0,0,0,1,0,1,1,1,0,0,more space
"Since chocolate and sugarpercent are both used as explanatory variables together, the model can only account for more of the sum of squares,than either of the ss errors for the variables seperately, which would result in a lower ss error as well,compared to the ss errors for the variables seperately.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,
