response,first variable has more,second variable has leftover (first is taken out),SS Model / PRE has different opportunity / variation to explain,overlapping variation,first gets overlap,sampling variation,reversed explanatory / outcome,one variable is better,coefficients change,misunderstood,did not attempt,qual vs quant,notes
I think when you do the sugar percent model first Chocolate is taking its SS model from a new SS total that takes into account the amount pulled off by sugar percent.  The SS total remains the same because it is still the same outcome variable but when calculating for SS Model the order you tell R to calculate makes a difference.,0,1,1,0,0,0,0,0,0,0,0,0,true ss total is same; SS Total changes
because of the order the variables were put in.,0,0,0,0,0,0,0,0,0,0,0,0,
You are switching the outcome and explanatory variables but I am not certain as to why we see these types of changes,0,0,0,0,0,0,0,0,0,0,0,0,
"The variable that goes first explains more variation than if it were to go second. The logic behind this is that the second variable attempts to explain the leftover variation unexplained by the first variable. In other terms, both variables overlap in their process of explaining variation and which ever variable goes first will account for explaining the variation contained in the overlap.",1,1,0,1,1,0,0,0,0,0,0,0,
"Since the sample changes, the values we get change too. But in the end they both add up to the same value. Running it two different ways mean the error they reduce changes which each try too.",0,0,0,0,0,1,0,0,0,0,0,0,
this is a result of sampling variation,0,0,0,0,0,1,0,0,0,0,0,0,
"This might be because you are switching the variables' roles as outcome and explanatory variables by reversing the order. Therefore, the way in which the SS for each specific variable is calculated is completely different.",0,0,0,0,0,0,1,0,0,0,0,0,SS is calculated differently
"The model is first seeing how much of the error is being taken out by the first parameter, then calculating how much the second parameter takes out in addition to the first one, thereby giving different SS totals because of order.",1,1,0,0,0,0,0,0,0,0,0,0,SS Total changes
"This may be because candies that contain chocolate may contain similar amounts of sugar, but by themselves as explanatory variables have very different results",0,0,0,0,0,1,0,0,0,0,0,0,
"Maybe the SS for chocolate and sugarpercent are different because when you reverse the order, whichever one comes first would explain more so the SS Model would be higher.",1,0,1,0,0,0,0,0,0,0,0,0,
"I think whatever you use as the first explanatory variable has more variation in the data to explain while the second variable ""cleans up"" in a way, only explaining left over data that hasn't already been explained by the first.",1,1,0,0,0,0,0,0,0,0,0,0,
"Chocolate & sugarpercent have different means and a mean minimizing the SS, that's why the SS for chocolate & for sugarpercent are quite different across these models.",0,0,0,0,0,0,0,0,0,1,0,0,different means
perhaps the ability for the sugar percent to reduce error goes down if the complex model has already reduced error with chocolate since chocolate could have reduced error better,0,0,1,0,0,0,0,1,0,0,0,0,
"Chocolate may be a better reduction of error in the first place than sugar percentage, so when you put sugar percentage as the b1, you get less reduction of error first which then inhibits how mic chocolate can reduce.",0,0,1,0,0,0,0,1,0,0,0,0,
"It might depend on which explanatory variable is accounted for first. If some of the error is explained by both models, then the values will be different depending on which one is calculated first.",1,0,0,1,0,0,0,0,0,0,0,0,
"Whichever variable you write first after the ~ in the regression model, the more it explains the outcome variable.",1,0,0,0,0,0,0,0,0,0,0,0,
The SS might be different because of the order in which the variables were written in the model. Chocolate explained more variation than sugarpercent; perhaps the order in which the variables are in affects how much variation is explained.,0,0,0,0,0,0,0,1,0,0,0,0,
